model_name,pair_id,category,event_kind,branch_t,selection_kind
qwen35_08b,token_cert_blank_line_wrap_0033,micro_blank_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_double_internal_space_0482,micro_double_internal_space,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_punctuation_0154,micro_duplicate_punctuation,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_small_word_0278,micro_duplicate_small_word,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_line_wrap_0448,micro_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_parenthesize_word_0005,micro_parenthesize_word,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_space_before_punctuation_0065,micro_space_before_punctuation,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_tab_after_space_0053,micro_tab_after_space,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_triple_internal_space_0082,micro_triple_internal_space,silent_logit_divergence,10.0,visible_long_prefix
qwen35_08b,token_cert_blank_line_wrap_0042,micro_blank_line_wrap,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_double_internal_space_0084,micro_double_internal_space,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_punctuation_0216,micro_duplicate_punctuation,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_small_word_0316,micro_duplicate_small_word,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_line_wrap_0007,micro_line_wrap,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_parenthesize_word_0244,micro_parenthesize_word,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_space_after_punctuation_0388,micro_space_after_punctuation,silent_logit_divergence,20.0,visible_long_prefix
qwen35_08b,token_cert_space_before_punctuation_0301,micro_space_before_punctuation,silent_logit_divergence,20.0,visible_long_prefix
qwen35_08b,token_cert_tab_after_space_0159,micro_tab_after_space,silent_logit_divergence,16.0,visible_long_prefix
qwen35_08b,token_cert_triple_internal_space_0290,micro_triple_internal_space,silent_logit_divergence,17.0,visible_long_prefix
qwen35_08b,token_cert_blank_line_wrap_0002,micro_blank_line_wrap,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_double_internal_space_0379,micro_double_internal_space,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_punctuation_0022,micro_duplicate_punctuation,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_small_word_0294,micro_duplicate_small_word,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_line_wrap_0413,micro_line_wrap,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_parenthesize_word_0502,micro_parenthesize_word,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_space_before_punctuation_0128,micro_space_before_punctuation,silent_logit_divergence,41.0,visible_long_prefix
qwen35_08b,token_cert_tab_after_space_0025,micro_tab_after_space,silent_logit_divergence,38.0,visible_long_prefix
qwen35_08b,token_cert_triple_internal_space_0190,micro_triple_internal_space,silent_logit_divergence,39.0,visible_long_prefix
qwen35_08b,token_cert_blank_line_wrap_0433,micro_blank_line_wrap,silent_logit_divergence,78.0,visible_long_prefix
qwen35_08b,token_cert_double_internal_space_0056,micro_double_internal_space,silent_logit_divergence,68.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_punctuation_0205,micro_duplicate_punctuation,silent_logit_divergence,65.0,visible_long_prefix
qwen35_08b,token_cert_duplicate_small_word_0015,micro_duplicate_small_word,silent_logit_divergence,68.0,visible_long_prefix
qwen35_08b,token_cert_line_wrap_0474,micro_line_wrap,silent_logit_divergence,69.0,visible_long_prefix
qwen35_08b,token_cert_parenthesize_word_0486,micro_parenthesize_word,silent_logit_divergence,69.0,visible_long_prefix
qwen35_08b,token_cert_space_before_punctuation_0337,micro_space_before_punctuation,silent_logit_divergence,76.0,visible_long_prefix
qwen35_08b,token_cert_tab_after_space_0559,micro_tab_after_space,silent_logit_divergence,89.0,visible_long_prefix
qwen35_08b,token_cert_triple_internal_space_0104,micro_triple_internal_space,silent_logit_divergence,69.0,visible_long_prefix
qwen35_08b,token_cert_blank_line_wrap_0072,micro_blank_line_wrap,silent_logit_divergence,10.0,visible_long_prefix
